fpr,tpr,thresholds,auc,ews
0.0,0.0,1.999469726732,0.941758034026465,DL bif
0.0,0.004347826086956522,0.9994697267320001,0.941758034026465,DL bif
0.0,0.7043478260869566,0.4893436562,0.941758034026465,DL bif
0.004347826086956522,0.7043478260869566,0.48879095930000005,0.941758034026465,DL bif
0.004347826086956522,0.7086956521739131,0.48865238304,0.941758034026465,DL bif
0.008695652173913044,0.7086956521739131,0.48599336809999993,0.941758034026465,DL bif
0.008695652173913044,0.717391304347826,0.48355970296,0.941758034026465,DL bif
0.021739130434782608,0.717391304347826,0.4817060605,0.941758034026465,DL bif
0.021739130434782608,0.7260869565217392,0.47146166629999997,0.941758034026465,DL bif
0.02608695652173913,0.7260869565217392,0.46940094281,0.941758034026465,DL bif
0.02608695652173913,0.7347826086956522,0.4683113342,0.941758034026465,DL bif
0.034782608695652174,0.7347826086956522,0.46623581039999995,0.941758034026465,DL bif
0.034782608695652174,0.7391304347826086,0.46372872090000006,0.941758034026465,DL bif
0.0391304347826087,0.7391304347826086,0.46276260999999996,0.941758034026465,DL bif
0.0391304347826087,0.7521739130434782,0.46100792679999997,0.941758034026465,DL bif
0.043478260869565216,0.7521739130434782,0.460596523,0.941758034026465,DL bif
0.043478260869565216,0.7565217391304347,0.45993526669999996,0.941758034026465,DL bif
0.04782608695652174,0.7565217391304347,0.4594987244,0.941758034026465,DL bif
0.04782608695652174,0.7608695652173914,0.45876354089999993,0.941758034026465,DL bif
0.05217391304347826,0.7608695652173914,0.4560225253,0.941758034026465,DL bif
0.05217391304347826,0.7652173913043478,0.4559511414,0.941758034026465,DL bif
0.06086956521739131,0.7652173913043478,0.454369602,0.941758034026465,DL bif
0.06086956521739131,0.7739130434782608,0.45058344378,0.941758034026465,DL bif
0.0782608695652174,0.7739130434782608,0.43914455459999996,0.941758034026465,DL bif
0.0782608695652174,0.7913043478260869,0.43555975699999994,0.941758034026465,DL bif
0.08260869565217391,0.7913043478260869,0.4350761159,0.941758034026465,DL bif
0.08260869565217391,0.7956521739130434,0.43319754750000006,0.941758034026465,DL bif
0.1,0.7956521739130434,0.42978715799999995,0.941758034026465,DL bif
0.1,0.8130434782608695,0.42796132027,0.941758034026465,DL bif
0.10434782608695652,0.8130434782608695,0.426493775,0.941758034026465,DL bif
0.10434782608695652,0.8217391304347826,0.42307347696000003,0.941758034026465,DL bif
0.10869565217391304,0.8217391304347826,0.422839184,0.941758034026465,DL bif
0.10869565217391304,0.8391304347826087,0.42128187570000003,0.941758034026465,DL bif
0.11304347826086956,0.8391304347826087,0.419947455,0.941758034026465,DL bif
0.11304347826086956,0.8434782608695652,0.41621839294999996,0.941758034026465,DL bif
0.12608695652173912,0.8434782608695652,0.4144171685,0.941758034026465,DL bif
