fpr,tpr,thresholds,auc,ews
0.0,0.0,inf,0.8421361058601133,DL bif
0.0,0.004347826086956522,0.99940507495,0.8421361058601133,DL bif
0.0,0.3782608695652174,0.8729800887,0.8421361058601133,DL bif
0.004347826086956522,0.3782608695652174,0.866907636,0.8421361058601133,DL bif
0.004347826086956522,0.46956521739130436,0.749719683,0.8421361058601133,DL bif
0.008695652173913044,0.46956521739130436,0.7462395346999999,0.8421361058601133,DL bif
0.008695652173913044,0.49130434782608695,0.7027058395,0.8421361058601133,DL bif
0.013043478260869565,0.49130434782608695,0.6917031897,0.8421361058601133,DL bif
0.013043478260869565,0.5,0.6801448782000001,0.8421361058601133,DL bif
0.017391304347826087,0.5,0.6754897816,0.8421361058601133,DL bif
0.017391304347826087,0.5217391304347826,0.6419223709999999,0.8421361058601133,DL bif
0.021739130434782608,0.5217391304347826,0.6353029957000002,0.8421361058601133,DL bif
0.021739130434782608,0.5347826086956522,0.6259692129,0.8421361058601133,DL bif
0.030434782608695653,0.5347826086956522,0.6198036599,0.8421361058601133,DL bif
0.030434782608695653,0.5608695652173913,0.5726979673,0.8421361058601133,DL bif
0.034782608695652174,0.5608695652173913,0.563068168,0.8421361058601133,DL bif
0.034782608695652174,0.5739130434782609,0.54780855004,0.8421361058601133,DL bif
0.0391304347826087,0.5739130434782609,0.5466448969799999,0.8421361058601133,DL bif
0.0391304347826087,0.591304347826087,0.53589872166,0.8421361058601133,DL bif
0.043478260869565216,0.591304347826087,0.5358876947,0.8421361058601133,DL bif
0.043478260869565216,0.5956521739130435,0.5343512857,0.8421361058601133,DL bif
0.04782608695652174,0.5956521739130435,0.5320712314000001,0.8421361058601133,DL bif
0.04782608695652174,0.6086956521739131,0.5234359196,0.8421361058601133,DL bif
0.05217391304347826,0.6086956521739131,0.5162669807700001,0.8421361058601133,DL bif
0.05217391304347826,0.6217391304347826,0.5111134548999999,0.8421361058601133,DL bif
0.05652173913043478,0.6217391304347826,0.5090650435000001,0.8421361058601133,DL bif
0.05652173913043478,0.6260869565217392,0.5030248641,0.8421361058601133,DL bif
0.06086956521739131,0.6260869565217392,0.50140670594,0.8421361058601133,DL bif
0.06086956521739131,0.6391304347826087,0.50045697053,0.8421361058601133,DL bif
0.06521739130434782,0.6391304347826087,0.49897501200999994,0.8421361058601133,DL bif
0.06521739130434782,0.6434782608695652,0.49800717905999997,0.8421361058601133,DL bif
0.08260869565217391,0.6434782608695652,0.49476491980000004,0.8421361058601133,DL bif
0.08260869565217391,0.6608695652173913,0.49223488855,0.8421361058601133,DL bif
0.08695652173913043,0.6608695652173913,0.49215052973,0.8421361058601133,DL bif
0.08695652173913043,0.6695652173913044,0.49074598338000003,0.8421361058601133,DL bif
0.09130434782608696,0.6695652173913044,0.4903250884,0.8421361058601133,DL bif
0.09130434782608696,0.6739130434782609,0.49014284516999995,0.8421361058601133,DL bif
0.09565217391304348,0.6739130434782609,0.48998407111,0.8421361058601133,DL bif
0.09565217391304348,0.6782608695652174,0.48856772426999995,0.8421361058601133,DL bif
0.1,0.6782608695652174,0.4841797514,0.8421361058601133,DL bif
0.1,0.6826086956521739,0.48376215196,0.8421361058601133,DL bif
0.10434782608695652,0.6826086956521739,0.48279020391,0.8421361058601133,DL bif
0.10434782608695652,0.6869565217391305,0.4814384169,0.8421361058601133,DL bif
0.10869565217391304,0.6869565217391305,0.47985380056,0.8421361058601133,DL bif
0.10869565217391304,0.691304347826087,0.47816201822,0.8421361058601133,DL bif
0.11739130434782609,0.691304347826087,0.47633542879999996,0.8421361058601133,DL bif
0.11739130434782609,0.6956521739130435,0.47180473940000006,0.8421361058601133,DL bif
0.12608695652173912,0.6956521739130435,0.46867070139,0.8421361058601133,DL bif
0.12608695652173912,0.7043478260869566,0.46800659069999995,0.8421361058601133,DL bif
0.13478260869565217,0.7043478260869566,0.4657722927,0.8421361058601133,DL bif
0.13478260869565217,0.7086956521739131,0.46383298900000003,0.8421361058601133,DL bif
0.1391304347826087,0.7086956521739131,0.46319638334,0.8421361058601133,DL bif
0.1391304347826087,0.717391304347826,0.4581851196,0.8421361058601133,DL bif
0.14782608695652175,0.717391304347826,0.45177932299999995,0.8421361058601133,DL bif
0.14782608695652175,0.7217391304347827,0.4491283876,0.8421361058601133,DL bif
0.19130434782608696,0.7217391304347827,0.4360027973,0.8421361058601133,DL bif
0.19130434782608696,0.7260869565217392,0.4349662891,0.8421361058601133,DL bif
0.2,0.7260869565217392,0.42657962166,0.8421361058601133,DL bif
0.2,0.7304347826086957,0.4262770273,0.8421361058601133,DL bif
0.20869565217391303,0.7304347826086957,0.42261063860000003,0.8421361058601133,DL bif
0.20869565217391303,0.7434782608695653,0.41609409767,0.8421361058601133,DL bif
0.22608695652173913,0.7434782608695653,0.4090693522,0.8421361058601133,DL bif
0.22608695652173913,0.7521739130434782,0.4078836845,0.8421361058601133,DL bif
0.23043478260869565,0.7521739130434782,0.4070414281,0.8421361058601133,DL bif
0.23043478260869565,0.7565217391304347,0.40585809734999995,0.8421361058601133,DL bif
0.2391304347826087,0.7565217391304347,0.40475004189999997,0.8421361058601133,DL bif
0.2391304347826087,0.7608695652173914,0.40404638215,0.8421361058601133,DL bif
0.27391304347826084,0.7608695652173914,0.38673292787,0.8421361058601133,DL bif
0.27391304347826084,0.7652173913043478,0.38665251990000005,0.8421361058601133,DL bif
0.2782608695652174,0.7652173913043478,0.385448506,0.8421361058601133,DL bif
0.2782608695652174,0.7695652173913043,0.38480501559,0.8421361058601133,DL bif
