fpr,tpr,thresholds,auc,ews,scale
0.05,0.04,0.7216117216117216,0.4965,Variance,0.8
0.07,0.04,0.7098901098901098,0.4965,Variance,0.8
0.07,0.07,0.6967032967032967,0.4965,Variance,0.8
0.1,0.07,0.6454212454212453,0.4965,Variance,0.8
0.1,0.08,0.6385836385836385,0.4965,Variance,0.8
0.11,0.08,0.6263736263736263,0.4965,Variance,0.8
0.11,0.12,0.5785103785103785,0.4965,Variance,0.8
0.12,0.12,0.5731379731379731,0.4965,Variance,0.8
0.12,0.13,0.5609279609279609,0.4965,Variance,0.8
0.13,0.13,0.55995115995116,0.4965,Variance,0.8
0.14,0.14,0.5560439560439561,0.4965,Variance,0.8
0.14,0.15,0.5443223443223444,0.4965,Variance,0.8
0.16,0.15,0.5345543345543345,0.4965,Variance,0.8
0.16,0.16,0.5321123321123321,0.4965,Variance,0.8
0.18,0.16,0.5155067155067155,0.4965,Variance,0.8
0.18,0.17,0.5047619047619047,0.4965,Variance,0.8
0.19,0.17,0.4925518925518925,0.4965,Variance,0.8
0.19,0.19,0.4857142857142856,0.4965,Variance,0.8
0.21,0.19,0.4818070818070817,0.4965,Variance,0.8
0.21,0.2,0.4813186813186813,0.4965,Variance,0.8
0.24,0.2,0.4715506715506715,0.4965,Variance,0.8
0.24,0.21,0.4652014652014651,0.4965,Variance,0.8
0.25,0.21,0.4539682539682539,0.4965,Variance,0.8
0.25,0.22,0.4393162393162392,0.4965,Variance,0.8
0.27,0.22,0.4378510378510378,0.4965,Variance,0.8
0.27,0.25,0.4251526251526251,0.4965,Variance,0.8
0.29,0.25,0.4051282051282051,0.4965,Variance,0.8
0.29,0.27,0.3836385836385836,0.4965,Variance,0.8
0.32,0.27,0.3499389499389499,0.4965,Variance,0.8
0.32,0.28,0.3445665445665445,0.4965,Variance,0.8
0.36,0.28,0.3108669108669108,0.4965,Variance,0.8
0.36,0.29,0.302075702075702,0.4965,Variance,0.8
0.37,0.29,0.2771672771672772,0.4965,Variance,0.8
0.37,0.3,0.2683760683760683,0.4965,Variance,0.8
0.39,0.3,0.2634920634920634,0.4965,Variance,0.8
