time,D,M,T,scale_up
198,159.89292663770456,0.2389047170243915,350.0,0.8
199,159.89292663770453,0.23890471702439162,350.0,0.8
198,159.88777493856074,0.23904803473547762,349.9,0.8
199,159.88777493856074,0.23904803473547762,349.9,0.8
198,159.8826188139666,0.23919144259231995,349.79999999999995,0.8
199,159.8826188139666,0.23919144259231995,349.79999999999995,0.8
198,159.87745825647607,0.2393349406472429,349.69999999999993,0.8
199,159.87745825647607,0.2393349406472429,349.69999999999993,0.8
198,159.87229325862148,0.2394785289525532,349.5999999999999,0.8
199,159.87229325862148,0.23947852895255325,349.5999999999999,0.8
198,159.8671238129131,0.23962220756054,349.4999999999999,0.8
199,159.8671238129131,0.23962220756054,349.4999999999999,0.8
198,159.8619499118392,0.23976597652347345,349.39999999999986,0.8
199,159.8619499118392,0.23976597652347345,349.39999999999986,0.8
198,159.85677154786606,0.23990983589360568,349.29999999999984,0.8
199,159.85677154786606,0.23990983589360568,349.29999999999984,0.8
198,159.8515887134377,0.2400537857231694,349.1999999999998,0.8
199,159.8515887134377,0.2400537857231694,349.1999999999998,0.8
198,159.84640140097608,0.2401978260643787,349.0999999999998,0.8
199,159.84640140097608,0.2401978260643787,349.0999999999998,0.8
198,159.84120960288072,0.24034195696942806,348.9999999999998,0.8
199,159.84120960288072,0.24034195696942806,348.9999999999998,0.8
198,159.8360133115288,0.24048617849049184,348.89999999999975,0.8
199,159.8360133115288,0.24048617849049184,348.89999999999975,0.8
198,159.83081251927518,0.2406304906797248,348.7999999999997,0.8
199,159.83081251927516,0.2406304906797249,348.7999999999997,0.8
198,159.825607218452,0.2407748935892613,348.6999999999997,0.8
199,159.825607218452,0.2407748935892613,348.6999999999997,0.8
198,159.82039740136895,0.24091938727121462,348.5999999999997,0.8
199,159.82039740136895,0.24091938727121462,348.5999999999997,0.8
198,159.81518306031296,0.2410639717776774,348.49999999999966,0.8
199,159.81518306031296,0.2410639717776774,348.49999999999966,0.8
198,159.80996418754825,0.24120864716072107,348.39999999999964,0.8
199,159.80996418754825,0.24120864716072107,348.39999999999964,0.8
198,159.80474077531625,0.24135341347239553,348.2999999999996,0.8
199,159.80474077531625,0.24135341347239553,348.2999999999996,0.8
